integration,metric_name,metric_type,metric_enabled,description
Couchbase,queryengine.activeRequests,gauge,true,Current number of active requests.
Couchbase,queryengine.averageRequestTimeInMilliseconds,gauge,true,Average Request Time of this query engine.
Couchbase,queryengine.completedLimit,rate,true,Number of Queries that couchbase will keep in it's query log.
Couchbase,queryengine.completedRequests,gauge,true,Current number of completed Requests.
Couchbase,queryengine.completedThresholdInMilliseconds,gauge,true,Minimum time query must take to be logged in couchbase's query log.
Couchbase,queryengine.cores,gauge,true,Number of cores available for this query engine.
Couchbase,queryengine.garbageCollectionNumber,gauge,true,Number of the last Garbage Collection
Couchbase,queryengine.garbageCollectionPaused,gauge,true,Percent of time that garbage collection is paused.
Couchbase,queryengine.garbageCollectionTimePausedInMilliseconds,gauge,true,Number of milliseconds that Garbage Collection is paused.
Couchbase,queryengine.medianRequestTimeInMilliseconds,gauge,true,Median Request Time of this query engine.
Couchbase,queryengine.preparedStatementUtilization,gauge,true,Percentage of requests that are prepared statements.
Couchbase,queryengine.requestsLast15MinutesPerSecond,gauge,true,Requests per second average over the past 15 minutes.
Couchbase,queryengine.requestsLast1MinutesPerSecond,gauge,true,Requests per second average over the past minute.
Couchbase,queryengine.requestsLast5MinutesPerSecond,gauge,true,Requests per second average over the past 5 minutes.
Couchbase,queryengine.requestTime80thPercentileInMilliseconds,gauge,true,80th Percentile of Request Time of this query engine.
Couchbase,queryengine.requestTime95thPercentileInMilliseconds,gauge,true,95th Percentile of Request Time of this query engine.
Couchbase,queryengine.requestTime99thPercentileInMilliseconds,gauge,true,99th Percentile of Request Time of this query engine.
Couchbase,queryengine.systemCPUUtilization,gauge,true,CPU Utilization of this Query Engine
Couchbase,queryengine.systemMemoryInBytes,gauge,true,The virtual address space reserved by this query engine.
Couchbase,queryengine.totalMemoryInBytes,gauge,true,Cumulative amount of memory allocated for heap objects by this query engine.
Couchbase,queryengine.totalThreads,gauge,true,Total threads used by this query engine.
Couchbase,queryengine.uptimeInMilliseconds,gauge,true,Uptime of this Query Engine
Couchbase,queryengine.usedMemoryInBytes,gauge,true,Amount of memory allocated for heap objects for this query engine.
Couchbase,queryengine.userCPUUtilization,gauge,true,User CPU Utilization of this Query Engine.
